external_id,campaign_name,channel,target_country,reported_sent,reported_delivered,reported_bounced,reported_opens,reported_clicks,spend,sent_at_utc,send_local_time,parent_campaign_id
KAR-0002,Campaign KAR-0002,email,,6585,6189,396,3029,1320,365.56,2026-03-16T06:35:41Z,2026-03-16 08:35,
CMP-014,Weekend Flash Sale,email,,3600,3446,154,1800,500,210.00,2026-02-15T01:41:49Z,2026-02-15 03:41,KIL-0007
KAR-0014,Campaign KAR-0014,sms,,4214,3961,253,1898,554,413.21,2026-02-03T12:07:59Z,2026-02-03 14:07,
KAR-0003,Campaign KAR-0003,email,,8906,8371,535,1782,405,539.32,2026-02-13T19:03:00Z,2026-02-13 21:03,
KAR-0009,Campaign KAR-0009,sms,,6151,5781,370,2420,1329,485.74,2026-02-04T06:03:32Z,2026-02-04 08:03,
KAR-0012,Campaign KAR-0012,email,,7778,7311,467,2188,355,669.80,2026-03-22T08:56:17Z,2026-03-22 10:56,
KAR-0013,Campaign KAR-0013,email,,3186,2994,192,1282,752,153.33,2026-04-12T18:20:08Z,2026-04-12 20:20,
KAR-0015,Campaign KAR-0015,email,,8254,7758,496,2162,1259,410.44,2026-02-15T12:33:41Z,2026-02-15 14:33,
KAR-0005,Campaign KAR-0005,sms,,5238,4923,315,2032,838,268.86,2026-04-04T03:14:56Z,2026-04-04 05:14,
KAR-0004,Campaign KAR-0004,sms,,5848,5497,351,1218,1274,506.89,2026-03-02T04:27:50Z,2026-03-02 06:27,
KAR-0001,Campaign KAR-0001,sms,,6049,5686,363,2732,1241,492.83,2026-04-10T10:59:41Z,2026-04-10 12:59,
KAR-0006,Campaign KAR-0006,sms,,5535,5202,333,1915,781,622.62,2026-02-04T05:11:36Z,2026-02-04 07:11,
KAR-0011,Campaign KAR-0011,email,,8532,8020,512,925,1466,381.11,2026-04-03T08:25:33Z,2026-04-03 10:25,
KAR-0007,Campaign KAR-0007,email,,4449,4182,267,1320,1190,341.96,2026-04-04T03:27:14Z,2026-04-04 05:27,
KAR-0008,Campaign KAR-0008,sms,,7403,6958,445,1439,625,361.74,2026-03-11T05:09:09Z,2026-03-11 07:09,
KAR-0016,Campaign KAR-0016,email,,7774,7307,467,2210,141,679.11,2026-03-28T18:31:26Z,2026-03-28 20:31,
KAR-0017,Campaign KAR-0017,sms,,6891,6477,414,1019,638,246.62,2026-03-31T23:20:16Z,2026-04-01 01:20,
KAR-0010,Campaign KAR-0010,email,,4698,4416,282,1606,789,120.35,2026-04-01T23:34:04Z,2026-04-02 01:34,
KAR-0018,Campaign KAR-0018,sms,,8552,8038,514,1738,944,540.62,2026-03-30T20:08:54Z,2026-03-30 22:08,
