event_id,external_contact_id,campaign_external_id,event_type,channel,occurred_at_utc
EV-00043419,CT-005612,KAR-0001,unsubscribe,email,2026-03-29T18:39:50.722508Z
EV-00024977,CT-003872,KAR-0013,click,email,2026-03-10T04:16:32.484619Z
EV-00065799,CT-012328,KAR-0017,bounce,sms,2026-03-27T14:27:53.922316Z
EV-00033879,CT-006039,KAR-0011,click,sms,2026-03-31T21:29:55.082561Z
EV-00016283,CT-000998,KAR-0009,open,sms,2026-03-08T06:30:11.988029Z
EV-00024463,CT-003835,KAR-0001,complaint,email,2026-03-19T16:54:31.427929Z
EV-00054169,CT-005540,KAR-0006,complaint,sms,2026-03-22T16:30:12.097203Z
EV-00023517,CT-010385,KAR-0009,unsubscribe,sms,2026-03-19T10:57:47.890803Z
EV-00045520,CT-009062,KAR-0018,bounce,email,2026-03-13T00:55:47.569678Z
EV-00064057,CT-006411,KAR-0017,unsubscribe,sms,2026-03-12T10:34:37.374787Z
EV-00058263,CT-012006,KAR-0006,open,email,2026-03-17T20:57:51.938036Z
EV-00005529,CT-005620,KAR-0009,complaint,sms,2026-03-26T18:03:53.026298Z
EV-00040929,CT-010359,KAR-0005,bounce,sms,2026-03-07T23:12:08.664683Z
EV-00030017,CT-007009,KAR-0016,click,sms,2026-03-16T00:41:41.555556Z
EV-00035250,CT-005142,KAR-0005,complaint,email,2026-03-30T06:11:23.619495Z
EV-00024424,CT-006224,KAR-0010,open,sms,2026-03-14T04:10:21.143801Z
EV-00049989,CT-008031,KAR-0007,unsubscribe,sms,2026-03-03T06:41:06.536098Z
EV-00026584,CT-000849,KAR-0016,click,sms,2026-03-03T15:10:25.600788Z
EV-00027995,CT-005946,KAR-0016,click,email,2026-03-05T20:39:47.722594Z
EV-00002617,CT-002678,KAR-0015,bounce,email,2026-03-07T03:46:08.425831Z
EV-00017255,CT-010003,KAR-0013,bounce,email,2026-03-23T20:05:42.567673Z
EV-00056110,CT-004699,KAR-0016,open,sms,2026-03-10T14:14:25.316379Z
EV-00025978,CT-000599,KAR-0017,click,sms,2026-04-01T18:16:43.385297Z
EV-00009538,CT-012012,KAR-0003,open,sms,2026-03-13T09:30:17.610715Z
EV-00060256,CT-001049,KAR-0017,click,email,2026-03-05T20:31:45.192851Z
EV-00021235,CT-011456,KAR-0011,click,sms,2026-04-03T08:04:20.293274Z
EV-00035880,CT-001742,KAR-0015,click,email,2026-03-15T17:10:47.726405Z
EV-00014788,CT-005010,KAR-0006,click,email,2026-03-07T13:40:40.826762Z
EV-00046414,CT-009437,KAR-0018,click,email,2026-03-10T21:54:29.649980Z
EV-00048375,CT-003741,KAR-0003,complaint,email,2026-03-22T20:46:50.207019Z
EV-00035104,CT-000798,KAR-0005,bounce,email,2026-03-08T15:40:55.778345Z
EV-00032064,CT-007092,KAR-0015,complaint,sms,2026-03-26T14:36:02.356491Z
EV-00037840,CT-009113,KAR-0015,click,email,2026-04-03T23:42:03.745270Z
EV-00068555,CT-002859,KAR-0015,open,sms,2026-03-20T04:33:41.437015Z
EV-00052462,CT-010609,KAR-0007,unsubscribe,email,2026-03-06T07:27:13.587979Z
EV-00067143,CT-011382,KAR-0004,click,sms,2026-03-12T18:09:17.898057Z
EV-00020702,CT-001630,KAR-0016,bounce,sms,2026-03-24T00:35:04.692781Z
EV-00000928,CT-000788,KAR-0008,bounce,email,2026-03-31T08:56:36.432788Z
EV-00001006,CT-009708,KAR-0005,bounce,sms,2026-04-02T03:46:52.958384Z
EV-00005097,CT-008542,KAR-0011,complaint,email,2026-03-13T15:37:25.590112Z
EV-00046505,CT-002835,KAR-0014,complaint,sms,2026-03-30T11:20:05.901327Z
EV-00021134,CT-009260,KAR-0002,unsubscribe,email,2026-03-06T04:50:19.987277Z
EV-00061652,CT-000661,KAR-0008,complaint,sms,2026-03-05T12:32:22.092933Z
EV-00024863,CT-001868,KAR-0010,unsubscribe,email,2026-03-09T09:59:01.344674Z
EV-00028649,CT-004335,KAR-0002,bounce,email,2026-03-20T09:18:04.575297Z
EV-00022392,CT-004443,KAR-0013,open,sms,2026-03-20T23:43:37.420429Z
EV-00028466,CT-009426,KAR-0004,click,sms,2026-03-21T20:54:25.367413Z
EV-00029139,CT-001504,KAR-0005,click,sms,2026-03-09T16:35:00.535550Z
EV-00005824,CT-005766,KAR-0007,bounce,sms,2026-04-01T13:27:39.026279Z
EV-00063457,CT-012293,KAR-0010,click,email,2026-03-16T08:05:55.556838Z
EV-00031572,CT-001099,KAR-0002,click,email,2026-03-09T21:12:58.320534Z
EV-00011256,CT-011099,KAR-0011,open,sms,2026-03-01T14:48:40.869595Z
EV-00020117,CT-007783,KAR-0011,bounce,email,2026-04-02T18:58:23.800066Z
EV-00002280,CT-008403,KAR-0007,open,email,2026-03-01T19:23:51.350279Z
