external_id,campaign_name,channel,target_country,reported_sent,reported_delivered,reported_bounced,reported_opens,reported_clicks,spend,sent_at_utc,send_local_time,parent_campaign_id
KIL-0016,Promo KIL-0016,email,,10640,10108,532,12679,2291,650.07,2026-02-09T00:08:45Z,2026-02-09 03:08,
KIL-0028,Promo KIL-0028,email,,9794,9304,489,11668,3639,657.07,2026-03-02T12:42:44Z,2026-03-02 15:42,
KIL-0005,Campaign KIL-0005,sms,,19797,18996,801,2894,2869,883.04,2026-03-13T22:35:44Z,2026-03-14 01:35,
KIL-0013,Campaign KIL-0013,sms,KE,21002,20384,618,11873,289,1029.12,2026-02-07T02:59:43Z,2026-02-07 05:59,
CMP-014,Weekend Flash Sale,email,,19000,18204,796,9100,2600,640.00,2026-04-09T14:13:33Z,2026-04-09 17:13,
KIL-0026,Campaign KIL-0026,email,,15202,14522,680,6584,637,358.18,2026-02-01T12:54:24Z,2026-02-01 15:54,
KIL-0007,Easter Getaway,email,,32014,31205,809,17402,4880,812.50,2026-03-13T16:19:09Z,2026-03-13 19:19,
KIL-0015,Campaign KIL-0015,email,,21240,20442,798,1050,2338,744.73,2026-03-30T01:57:04Z,2026-03-30 04:57,
KIL-0044,Grand Broadcast,email,,70000,68200,1800,24010,7100,1420.00,2026-03-03T14:53:13Z,2026-03-03 17:53,
KIL-0044,Grand Broadcast,email,,70000,68200,1800,24010,7100,1420.00,2026-03-03T14:53:13Z,2026-03-03 17:53,
KIL-0029,Campaign KIL-0029,sms,,12137,11235,902,5525,1638,860.23,2026-03-26T12:29:56Z,2026-03-26 15:29,
KIL-0008,Campaign KIL-0008,sms,,17300,16439,861,7568,1123,660.21,2026-04-10T11:30:50Z,2026-04-10 14:30,
KIL-0032,Campaign KIL-0032,sms,,16825,16230,595,3625,1691,902.06,2026-02-14T08:36:27Z,2026-02-14 11:36,
KIL-0011,Campaign KIL-0011,sms,KE,10397,9443,954,2439,548,1011.85,2026-03-21T17:13:43Z,2026-03-21 20:13,
KIL-0041,Campaign KIL-0041,email,,8583,8333,250,4662,772,877.41,2026-03-03T17:42:53Z,2026-03-03 20:42,
KIL-0004,Campaign KIL-0004,sms,,17872,17420,452,8728,1258,452.05,2026-03-28T14:48:26Z,2026-03-28 17:48,
KIL-0023,Campaign KIL-0023,sms,,11649,10685,964,3900,1346,1302.18,2026-03-15T15:22:29Z,2026-03-15 18:22,
KIL-0039,Campaign KIL-0039,email,,23898,23413,485,12794,1212,633.30,2026-03-27T04:36:12Z,2026-03-27 07:36,
KIL-0024,Campaign KIL-0024,email,KE,13410,12888,522,1258,1986,1108.82,2026-03-10T22:58:39Z,2026-03-11 01:58,
KIL-0030,Campaign KIL-0030,email,,26946,24670,2276,5744,1106,947.97,2026-02-28T04:12:07Z,2026-02-28 07:12,
KIL-0031,Nairobi Locals,email,KE,40100,39050,1050,15980,4120,511.00,2026-04-10T05:46:10Z,2026-04-10 08:46,
KIL-0038,All Bounced,email,,412,0,412,0,0,41.20,2026-04-14T04:05:57Z,2026-04-14 07:05,
KIL-0006,Campaign KIL-0006,email,,6048,5880,168,1098,2950,957.42,2026-02-07T09:16:31Z,2026-02-07 12:16,
KIL-0022,Promo KIL-0022,email,,12279,11665,613,13745,3882,590.84,2026-03-12T16:18:35Z,2026-03-12 19:18,
KIL-0040,Promo KIL-0040,email,,9830,9338,491,12242,3853,405.64,2026-02-24T22:00:47Z,2026-02-25 01:00,
KIL-0025,Campaign KIL-0025,email,,27968,25659,2309,12062,2376,220.19,2026-04-05T11:44:17Z,2026-04-05 14:44,
KIL-0021,Weekend Warrior,email,,12004,11650,354,14203,3980,402.10,2026-03-18T05:13:17Z,2026-03-18 08:13,
KIL-0020,Campaign KIL-0020,email,KE,16484,16144,340,3469,2490,688.90,2026-03-26T11:28:00Z,2026-03-26 14:28,
