event_id;external_contact_id;campaign_external_id;event_type;channel;occurred_at_utc
EV-00000549;CT-000324;MAR-0008;open;email;2026-03-08T17:29:18.080024Z
EV-00000373;CT-000571;MAR-0015;click;email;2026-03-03T16:49:22.176418Z
EV-00000882;CT-000167;MAR-0009;complaint;email;2026-03-04T19:38:45.111255Z
EV-00000102;CT-000067;MAR-0003;unsubscribe;sms;2026-03-22T05:17:51.794981Z
EV-00000211;CT-000121;MAR-0003;click;email;2026-03-16T09:44:43.339904Z
EV-00000421;CT-000247;MAR-0006;unsubscribe;sms;2026-03-21T10:43:39.217583Z
EV-00000696;CT-000347;MAR-0007;complaint;email;2026-03-11T19:40:17.630751Z
EV-00000176;CT-000865;MAR-0009;bounce;sms;2026-04-04T06:41:33.288915Z
EV-00000110;CT-000170;MAR-0009;complaint;sms;2026-03-25T05:02:32.720559Z
EV-00000330;CT-000212;MAR-0016;click;email;2026-04-04T03:13:35.741605Z
EV-00000237;CT-000412;MAR-0012;unsubscribe;sms;2026-03-09T00:55:18.796599Z
EV-00000386;CT-000373;MAR-0012;open;sms;2026-03-24T09:24:17.644392Z
EV-00000395;CT-000736;MAR-0003;complaint;email;2026-03-19T22:25:31.026839Z
EV-00000638;CT-000812;MAR-0017;open;sms;2026-04-04T23:56:38.642823Z
EV-00000920;CT-000443;MAR-0008;unsubscribe;email;2026-03-15T10:14:27.365946Z
EV-00000350;CT-000304;MAR-0006;open;email;2026-04-03T00:55:34.256403Z
EV-00000306;CT-000779;MAR-0017;bounce;email;2026-03-06T17:15:10.412562Z
EV-00000836;CT-000040;MAR-0018;click;email;2026-03-18T00:51:18.659932Z
EV-00000071;CT-000229;MAR-0002;open;email;2026-03-13T18:41:14.143978Z
EV-00000140;CT-000648;MAR-0014;unsubscribe;sms;2026-04-02T06:48:17.286459Z
EV-00000057;CT-000744;MAR-0010;open;sms;2026-03-26T02:59:44.733178Z
EV-00000063;CT-000281;MAR-0018;open;email;2026-03-22T05:53:21.704410Z
EV-00000322;CT-000355;MAR-0012;bounce;sms;2026-03-15T14:42:08.328501Z
EV-00000725;CT-000387;MAR-0014;complaint;email;2026-04-01T13:39:01.025575Z
EV-00000059;CT-000398;MAR-0007;open;email;2026-03-21T18:31:34.085368Z
EV-00000908;CT-000199;MAR-0003;complaint;email;2026-03-05T01:23:57.939614Z
EV-00000267;CT-000077;MAR-0002;click;sms;2026-03-02T13:56:24.237465Z
EV-00000328;CT-000773;MAR-0005;bounce;sms;2026-03-20T17:17:19.241058Z
EV-00000463;CT-000481;MAR-0016;bounce;sms;2026-03-16T22:31:22.282562Z
EV-00000760;CT-000101;MAR-0004;bounce;sms;2026-04-02T18:36:21.124441Z
EV-00000524;CT-000627;MAR-0006;bounce;email;2026-03-13T15:39:22.450052Z
EV-00000591;CT-000762;MAR-0002;complaint;sms;2026-03-25T23:03:02.946355Z
EV-00000516;CT-000632;MAR-0015;unsubscribe;sms;2026-03-01T21:59:34.950663Z
EV-00000784;CT-000137;MAR-0004;click;email;2026-03-04T21:59:48.940201Z
EV-00000092;CT-000507;MAR-0012;complaint;email;2026-04-01T01:18:28.060458Z
EV-00000507;CT-000588;MAR-0007;unsubscribe;email;2026-03-08T21:30:47.518216Z
EV-00000819;CT-000449;MAR-0002;open;email;2026-04-04T20:01:40.931543Z
EV-00000383;CT-000034;MAR-0018;unsubscribe;email;2026-03-27T17:37:20.839897Z
EV-00000759;CT-000191;MAR-0001;bounce;sms;2026-03-08T08:28:04.007385Z
EV-00000054;CT-000699;MAR-0011;bounce;email;2026-04-04T09:18:40.866096Z
